team_name,id,hltv_placement,hltv_points,valve_placement,valve_points
Vitality,9565,1,1000,1,2012
Natus Vincere,4608,2,711,4,1943
Spirit,7020,3,517,2,1982
Falcons,11283,4,509,3,1954
FURIA,8297,5,396,11,1706
Aurora,11861,6,353,9,1731
Legacy,12468,7,311,5,1869
MOUZ,4494,8,302,6,1861
The MongolZ,6248,9,288,7,1755
GamerLegion,9928,10,265,10,1711
PARIVISION,12467,11,249,14,1669
Astralis,6665,12,226,8,1738
FUT,13286,13,205,12,1683
G2,5995,14,205,13,1674
FaZe,6667,15,171,22,1487
B8,11241,16,154,16,1613
magic,13592,17,132,19,1550
paiN,4773,18,119,20,1543
MIBR,9215,19,114,18,1581
9z,9996,20,112,15,1638
BetBoom,12394,21,110,17,1607
3DMAX,4914,22,101,27,1427
Ninjas in Pyjamas,4411,23,90,23,1460
Monte,11811,24,87,21,1508
Liquid,5973,25,75,37,1343
Gentle Mates,13404,26,71,32,1397
HEROIC,7175,27,65,33,1378
M80,12376,28,57,26,1433
TYLOO,4863,29,52,25,1433
SINNERS,10577,30,52,42,1319
Lynn Vision,8840,31,51,24,1437
EYEBALLERS,11737,32,47,36,1361
NRG,6673,33,45,48,1288
Alliance,12474,34,45,30,1402
Sharks,8113,35,44,38,1337
HOTU,11581,36,43,31,1398
Wildcard,12257,37,40,29,1425
Passion UA,12426,38,38,69,1163
BIG,7532,39,32,28,1427
Walczaki,13808,40,30,45,1303
FOKUS,13679,41,30,35,1363
Inner Circle,13117,42,28,44,1316
The Huns,12510,43,25,73,1152
BC.Game,12878,44,25,108,988
JiJieHao,10245,45,23,41,1324
Nemesis,13355,46,23,34,1368
Nuclear TigeRES,13027,47,21,39,1335
INFINITE,10823,48,21,49,1273
fnatic,4991,49,21,81,1110
K27,12895,50,21,43,1318
